from,to,ref,value,quality,parameter_id,station_id,date
1700870401000.0,1700956800000.0,2023-11-25,-4.5,Y,2,97200,
1700956801000.0,1701043200000.0,2023-11-26,-3.5,Y,2,97200,
1701043201000.0,1701129600000.0,2023-11-27,-5.7,Y,2,97200,
1701129601000.0,1701216000000.0,2023-11-28,-5.6,Y,2,97200,
1701216001000.0,1701302400000.0,2023-11-29,-5.8,Y,2,97200,
1701302401000.0,1701388800000.0,2023-11-30,-2.2,Y,2,97200,
1701388801000.0,1701475200000.0,2023-12-01,-1.6,Y,2,97200,
1701475201000.0,1701561600000.0,2023-12-02,-5.5,Y,2,97200,
1701561601000.0,1701648000000.0,2023-12-03,-6.0,Y,2,97200,
1701648001000.0,1701734400000.0,2023-12-04,-9.2,Y,2,97200,
1701734401000.0,1701820800000.0,2023-12-05,-9.1,Y,2,97200,
1701820801000.0,1701907200000.0,2023-12-06,-13.5,Y,2,97200,
1701907201000.0,1701993600000.0,2023-12-07,-3.8,Y,2,97200,
1701993601000.0,1702080000000.0,2023-12-08,0.9,Y,2,97200,
1702080001000.0,1702166400000.0,2023-12-09,0.3,Y,2,97200,
1702166401000.0,1702252800000.0,2023-12-10,0.1,Y,2,97200,
1702252801000.0,1702339200000.0,2023-12-11,0.8,Y,2,97200,
1702339201000.0,1702425600000.0,2023-12-12,-2.4,Y,2,97200,
1702425601000.0,1702512000000.0,2023-12-13,-2.8,Y,2,97200,
1702512001000.0,1702598400000.0,2023-12-14,-5.5,Y,2,97200,
1702598401000.0,1702684800000.0,2023-12-15,-3.6,Y,2,97200,
1702684801000.0,1702771200000.0,2023-12-16,3.8,Y,2,97200,
1702771201000.0,1702857600000.0,2023-12-17,4.2,Y,2,97200,
1702857601000.0,1702944000000.0,2023-12-18,6.5,Y,2,97200,
1702944001000.0,1703030400000.0,2023-12-19,5.0,Y,2,97200,
1703030401000.0,1703116800000.0,2023-12-20,0.7,Y,2,97200,
1703116801000.0,1703203200000.0,2023-12-21,0.1,Y,2,97200,
1703203201000.0,1703289600000.0,2023-12-22,0.6,Y,2,97200,
1703289601000.0,1703376000000.0,2023-12-23,-2.9,Y,2,97200,
1703376001000.0,1703462400000.0,2023-12-24,-7.7,Y,2,97200,
1703462401000.0,1703548800000.0,2023-12-25,-0.4,Y,2,97200,
1703548801000.0,1703635200000.0,2023-12-26,-6.7,Y,2,97200,
1703635201000.0,1703721600000.0,2023-12-27,-3.5,Y,2,97200,
1703721601000.0,1703808000000.0,2023-12-28,-1.5,Y,2,97200,
1703808001000.0,1703894400000.0,2023-12-29,1.9,Y,2,97200,
1703894401000.0,1703980800000.0,2023-12-30,0.2,Y,2,97200,
1703980801000.0,1704067200000.0,2023-12-31,-2.5,Y,2,97200,
1704067201000.0,1704153600000.0,2024-01-01,-2.4,Y,2,97200,
1704153601000.0,1704240000000.0,2024-01-02,-5.6,Y,2,97200,
1704240001000.0,1704326400000.0,2024-01-03,-6.4,Y,2,97200,
1704326401000.0,1704412800000.0,2024-01-04,-8.8,Y,2,97200,
